step,KE,PE,total
127,1.76191e+06,-3.23392e+06,-1.47201e+06
128,1.77907e+06,-3.25105e+06,-1.47198e+06
129,1.7965e+06,-3.26851e+06,-1.47201e+06
130,1.81446e+06,-3.28661e+06,-1.47215e+06
131,1.8325e+06,-3.30474e+06,-1.47224e+06
132,1.85025e+06,-3.32252e+06,-1.47227e+06
133,1.86784e+06,-3.3402e+06,-1.47236e+06
134,1.88528e+06,-3.35772e+06,-1.47244e+06
135,1.90263e+06,-3.3751e+06,-1.47246e+06
136,1.92026e+06,-3.39276e+06,-1.47251e+06
137,1.93845e+06,-3.41102e+06,-1.47257e+06
138,1.95783e+06,-3.43042e+06,-1.47259e+06
139,1.97688e+06,-3.45076e+06,-1.47387e+06
140,1.99432e+06,-3.46693e+06,-1.47261e+06
141,2.01082e+06,-3.48361e+06,-1.47279e+06
142,2.02898e+06,-3.50205e+06,-1.47307e+06
143,2.04594e+06,-3.51985e+06,-1.47391e+06
144,2.06027e+06,-3.53352e+06,-1.47325e+06
145,2.07305e+06,-3.54636e+06,-1.47331e+06
146,2.08617e+06,-3.5594e+06,-1.47323e+06
147,2.10049e+06,-3.57368e+06,-1.47319e+06
148,2.11681e+06,-3.59006e+06,-1.47325e+06
149,2.1351e+06,-3.60859e+06,-1.47349e+06
150,2.15424e+06,-3.62802e+06,-1.47378e+06
151,2.17328e+06,-3.64693e+06,-1.47366e+06
152,2.19287e+06,-3.66649e+06,-1.47362e+06
153,2.21388e+06,-3.68772e+06,-1.47384e+06
154,2.23574e+06,-3.70985e+06,-1.47411e+06
155,2.25694e+06,-3.73128e+06,-1.47434e+06
156,2.27591e+06,-3.75052e+06,-1.47461e+06
157,2.29149e+06,-3.76616e+06,-1.47467e+06
158,2.30404e+06,-3.77848e+06,-1.47444e+06
159,2.31553e+06,-3.78978e+06,-1.47425e+06
160,2.3282e+06,-3.80234e+06,-1.47414e+06
161,2.34322e+06,-3.81746e+06,-1.47425e+06
162,2.35969e+06,-3.83464e+06,-1.47495e+06
163,2.37314e+06,-3.84808e+06,-1.47494e+06
164,2.38337e+06,-3.85786e+06,-1.47449e+06
165,2.39467e+06,-3.86916e+06,-1.47449e+06
166,2.40798e+06,-3.88257e+06,-1.47459e+06
167,2.42314e+06,-3.89793e+06,-1.47479e+06
168,2.43923e+06,-3.91415e+06,-1.47493e+06
169,2.45525e+06,-3.93024e+06,-1.47499e+06
170,2.47074e+06,-3.94583e+06,-1.47509e+06
171,2.48537e+06,-3.96045e+06,-1.47509e+06
172,2.49938e+06,-3.9744e+06,-1.47502e+06
173,2.51378e+06,-3.98879e+06,-1.47501e+06
174,2.52923e+06,-4.00429e+06,-1.47506e+06
175,2.54617e+06,-4.02131e+06,-1.47514e+06
176,2.56498e+06,-4.0403e+06,-1.47532e+06
177,2.58488e+06,-4.06079e+06,-1.47591e+06
178,2.59995e+06,-4.07685e+06,-1.4769e+06
179,2.60927e+06,-4.085e+06,-1.47573e+06
