step,KE,PE,total
169,6378.2,-18177.4,-11799.2
170,6402.68,-18201.9,-11799.2
171,6429.36,-18228.5,-11799.2
172,6458.36,-18257.5,-11799.2
173,6489.49,-18288.7,-11799.2
174,6522.33,-18321.6,-11799.3
175,6556.16,-18355.5,-11799.3
176,6590.17,-18389.6,-11799.4
177,6623.75,-18423.2,-11799.4
178,6656.83,-18456.2,-11799.4
179,6689.83,-18489.2,-11799.3
180,6723.14,-18522.5,-11799.3
181,6756.76,-18556.1,-11799.4
182,6790.52,-18589.9,-11799.4
183,6824.6,-18623.9,-11799.3
184,6859.64,-18658.9,-11799.2
185,6896.3,-18695.5,-11799.2
186,6934.94,-18734.2,-11799.2
187,6975.53,-18774.8,-11799.3
188,7016.78,-18816.4,-11799.6
189,7055.24,-18855.3,-11800
190,7087.62,-18887.5,-11799.9
191,7115.26,-18914.7,-11799.4
192,7142.05,-18941.3,-11799.3
193,7169.87,-18969.2,-11799.3
194,7198.5,-18997.9,-11799.4
195,7227,-19026.5,-11799.5
196,7254.59,-19054.1,-11799.5
197,7280.99,-19080.5,-11799.5
198,7306.37,-19105.8,-11799.4
199,7331.24,-19130.6,-11799.4
200,7356.45,-19155.7,-11799.3
201,7382.81,-19182.1,-11799.3
202,7410.84,-19210.1,-11799.2
203,7440.73,-19240,-11799.2
204,7472.52,-19271.8,-11799.2
205,7506.38,-19305.6,-11799.2
206,7542.61,-19341.8,-11799.2
207,7581.36,-19380.6,-11799.2
208,7622.41,-19421.7,-11799.3
209,7665.11,-19464.5,-11799.4
210,7708.39,-19507.8,-11799.5
211,7751.3,-19550.8,-11799.5
212,7793.69,-19593.1,-11799.4
213,7836.21,-19635.5,-11799.3
214,7879.81,-19679.1,-11799.3
215,7925.22,-19724.5,-11799.3
216,7972.78,-19772.1,-11799.3
217,8022.51,-19821.8,-11799.3
218,8074.12,-19873.5,-11799.4
219,8127.08,-19926.5,-11799.4
220,8180.73,-19980.2,-11799.5
221,8234.41,-20034,-11799.6
222,8287.62,-20087.2,-11799.6
223,8339.94,-20139.6,-11799.6
224,8391.08,-20190.8,-11799.7
225,8440.72,-20240.4,-11799.7
226,8488.52,-20288.3,-11799.8
227,8534.16,-20334,-11799.8
228,8577.35,-20377.2,-11799.8
229,8617.96,-20417.8,-11799.8
230,8656.07,-20455.9,-11799.8
231,8691.98,-20491.7,-11799.8
232,8725.92,-20525.7,-11799.8
233,8758.03,-20557.8,-11799.7
234,8788.38,-20588.1,-11799.7
235,8817.08,-20616.8,-11799.7
236,8844.1,-20643.8,-11799.7
237,8869.03,-20668.8,-11799.8
238,8891.49,-20691.2,-11799.8
239,8911.67,-20711.3,-11799.7
240,8930.4,-20730,-11799.6
241,8948.61,-20748.1,-11799.5
242,8967.13,-20766.6,-11799.4
243,8986.59,-20786,-11799.4
244,9007.29,-20806.7,-11799.4
245,9028.86,-20828.4,-11799.5
246,9050.04,-20849.7,-11799.7
247,9069.28,-20869,-11799.7
248,9086.3,-20885.8,-11799.5
249,9102.72,-20902,-11799.3
250,9120.9,-20920.1,-11799.2
251,9142.46,-20941.6,-11799.1
252,9168.07,-20967.2,-11799.1
253,9197.75,-20996.9,-11799.1
254,9231.21,-21030.4,-11799.1
255,9268.01,-21067.2,-11799.2
256,9307.72,-21106.9,-11799.2
257,9350.04,-21149.3,-11799.2
258,9394.84,-21194.1,-11799.2
259,9442.07,-21241.3,-11799.2
260,9491.56,-21290.8,-11799.3
261,9542.94,-21342.2,-11799.3
262,9595.88,-21395.2,-11799.3
263,9650.27,-21449.6,-11799.3
264,9706.19,-21505.5,-11799.3
265,9763.54,-21562.9,-11799.4
266,9822.04,-21621.4,-11799.4
267,9881.41,-21680.8,-11799.4
268,9941.79,-21741.1,-11799.3
269,10004,-21803.3,-11799.2
270,10069.4,-21868.6,-11799.1
271,10139.3,-21938.4,-11799.1
272,10214.5,-22013.6,-11799.1
273,10295.4,-22094.5,-11799.1
274,10381.9,-22181.1,-11799.1
275,10473.9,-22273.1,-11799.2
276,10571,-22370.3,-11799.3
277,10673.3,-22472.6,-11799.3
278,10780.7,-22580.1,-11799.4
279,10892.9,-22692.6,-11799.6
280,11008.5,-22808.5,-11800
281,11124.5,-22924.9,-11800.5
282,11236.8,-23037.8,-11801
283,11340.8,-23142.4,-11801.6
284,11431.6,-23233.6,-11802
285,11506.2,-23308.2,-11802
286,11565.1,-23366.7,-11801.5
287,11612.1,-23413.1,-11801
288,11652.3,-23452.7,-11800.4
289,11690.4,-23490.5,-11800.1
290,11729.6,-23529.4,-11799.9
291,11771.4,-23571.2,-11799.8
292,11816.3,-23616,-11799.7
293,11864.1,-23663.9,-11799.7
294,11914.6,-23714.4,-11799.8
295,11967.5,-23767.3,-11799.8
296,12022.4,-23822.2,-11799.8
297,12078.9,-23878.7,-11799.9
298,12136.3,-23936.3,-11799.9
299,12194,-23994,-11800
300,12251.5,-24051.4,-11799.9
301,12309.6,-24109.4,-11799.8
302,12370,-24169.7,-11799.7
303,12434.5,-24234,-11799.5
304,12504.8,-24304.2,-11799.4
305,12583.1,-24382.3,-11799.2
306,12672.5,-24471.4,-11798.9
307,12777.6,-24576,-11798.5
308,12906.2,-24703.9,-11797.7
309,13070.1,-24867,-11796.9
310,13284.1,-25081.2,-11797.1
311,13544.7,-25350,-11805.3
312,13755.3,-25586.8,-11831.6
313,13743.5,-25573.4,-11829.9
314,13517.2,-25321.4,-11804.2
315,13251.8,-25048.5,-11796.7
316,13037.2,-24833.7,-11796.5
317,12875.3,-24672.6,-11797.2
318,12752.3,-24550.2,-11797.8
319,12657.3,-24455.5,-11798.2
320,12583.2,-24381.7,-11798.5
321,12525.5,-24324.2,-11798.7
322,12481.2,-24280,-11798.8
323,12448.1,-24247,-11798.9
324,12424,-24223.1,-11799.1
325,12406.8,-24206.1,-11799.3
326,12394,-24193.4,-11799.5
327,12383.8,-24183.3,-11799.5
328,12376.1,-24175.4,-11799.3
329,12371.7,-24170.9,-11799.2
330,12371.6,-24170.9,-11799.2
331,12376.3,-24175.6,-11799.3
332,12384.9,-24184.3,-11799.4
333,12396.2,-24195.7,-11799.4
334,12409.9,-24209.3,-11799.4
335,12426.5,-24225.9,-11799.3
336,12446.5,-24245.8,-11799.3
337,12469.9,-24269.3,-11799.4
338,12496.7,-24296.1,-11799.4
339,12525.9,-24325.5,-11799.6
340,12555.9,-24355.7,-11799.7
341,12585.1,-24385,-11799.9
342,12612.4,-24412.3,-11799.9
343,12637.2,-24437.1,-11799.9
344,12659.7,-24459.6,-11799.9
345,12680.5,-24480.3,-11799.8
346,12700.5,-24500.2,-11799.8
347,12720,-24519.9,-11799.8
348,12738.7,-24538.6,-11799.9
349,12755.4,-24555.4,-11800
350,12769.9,-24569.9,-11800
351,12782.1,-24582,-11800
352,12791.8,-24591.8,-11800
353,12799,-24599,-11800
354,12803.7,-24603.6,-11799.9
355,12806.6,-24606.4,-11799.8
356,12808.5,-24608.2,-11799.7
357,12810.3,-24609.9,-11799.6
358,12812.6,-24612.2,-11799.5
359,12816,-24615.5,-11799.5
360,12821.2,-24620.6,-11799.4
361,12828.8,-24628.2,-11799.3
362,12839.6,-24638.9,-11799.3
363,12853.7,-24653,-11799.3
364,12870.5,-24669.9,-11799.4
365,12889.5,-24688.9,-11799.4
366,12910.4,-24709.7,-11799.4
367,12933.4,-24732.7,-11799.3
368,12959.7,-24758.9,-11799.2
369,12990.3,-24789.4,-11799.1
370,13025.8,-24824.9,-11799.1
371,13066.7,-24865.8,-11799.1
372,13113.3,-24912.4,-11799.1
373,13165.9,-24965,-11799.1
374,13224.6,-25023.7,-11799.1
375,13289.8,-25088.9,-11799.2
376,13361.3,-25160.6,-11799.2
