step,KE,PE,total
127,1.78449e+06,-3.2524e+06,-1.46791e+06
128,1.80301e+06,-3.27089e+06,-1.46789e+06
129,1.82153e+06,-3.28941e+06,-1.46788e+06
130,1.83999e+06,-3.30794e+06,-1.46796e+06
131,1.85804e+06,-3.32597e+06,-1.46793e+06
132,1.87579e+06,-3.34371e+06,-1.46792e+06
133,1.89336e+06,-3.36132e+06,-1.46796e+06
134,1.91076e+06,-3.37865e+06,-1.46789e+06
135,1.9284e+06,-3.39628e+06,-1.46788e+06
136,1.94679e+06,-3.41463e+06,-1.46784e+06
137,1.96653e+06,-3.43432e+06,-1.46779e+06
138,1.9877e+06,-3.45593e+06,-1.46823e+06
139,2.00737e+06,-3.47552e+06,-1.46816e+06
140,2.02419e+06,-3.49236e+06,-1.46817e+06
141,2.03982e+06,-3.50797e+06,-1.46815e+06
142,2.05452e+06,-3.52249e+06,-1.46797e+06
143,2.069e+06,-3.53697e+06,-1.46797e+06
144,2.0834e+06,-3.55136e+06,-1.46796e+06
145,2.09782e+06,-3.56566e+06,-1.46784e+06
146,2.11301e+06,-3.58076e+06,-1.46775e+06
147,2.12973e+06,-3.59747e+06,-1.46773e+06
148,2.14797e+06,-3.61579e+06,-1.46782e+06
149,2.167e+06,-3.63491e+06,-1.46791e+06
150,2.18652e+06,-3.65433e+06,-1.46782e+06
151,2.20706e+06,-3.67482e+06,-1.46775e+06
152,2.22916e+06,-3.69699e+06,-1.46783e+06
153,2.2523e+06,-3.7204e+06,-1.4681e+06
154,2.27457e+06,-3.74301e+06,-1.46844e+06
155,2.29369e+06,-3.76223e+06,-1.46853e+06
156,2.30868e+06,-3.77707e+06,-1.46839e+06
157,2.32047e+06,-3.78857e+06,-1.46811e+06
158,2.33111e+06,-3.79899e+06,-1.46789e+06
159,2.34258e+06,-3.81034e+06,-1.46776e+06
160,2.35602e+06,-3.82365e+06,-1.46763e+06
161,2.37215e+06,-3.83997e+06,-1.46782e+06
162,2.387e+06,-3.85606e+06,-1.46906e+06
163,2.39924e+06,-3.86715e+06,-1.46791e+06
164,2.41153e+06,-3.8795e+06,-1.46796e+06
165,2.42537e+06,-3.89336e+06,-1.46799e+06
166,2.44e+06,-3.90802e+06,-1.46802e+06
167,2.455e+06,-3.92308e+06,-1.46808e+06
168,2.47024e+06,-3.93829e+06,-1.46805e+06
169,2.48583e+06,-3.95395e+06,-1.46812e+06
170,2.50152e+06,-3.96968e+06,-1.46815e+06
171,2.51732e+06,-3.98537e+06,-1.46804e+06
172,2.53377e+06,-4.0019e+06,-1.46814e+06
173,2.55069e+06,-4.01896e+06,-1.46827e+06
174,2.56759e+06,-4.03581e+06,-1.46822e+06
175,2.58438e+06,-4.0528e+06,-1.46843e+06
176,2.59954e+06,-4.0684e+06,-1.46886e+06
177,2.61123e+06,-4.07958e+06,-1.46835e+06
178,2.62127e+06,-4.08938e+06,-1.46812e+06
179,2.63209e+06,-4.10041e+06,-1.46832e+06
180,2.64312e+06,-4.11145e+06,-1.46832e+06
181,2.65374e+06,-4.12224e+06,-1.4685e+06
182,2.6634e+06,-4.13187e+06,-1.46848e+06
183,2.67258e+06,-4.14078e+06,-1.4682e+06
184,2.68664e+06,-4.15391e+06,-1.46728e+06
185,2.69187e+06,-4.15492e+06,-1.46305e+06
186,2.68482e+06,-4.14841e+06,-1.46358e+06
187,2.68374e+06,-4.14734e+06,-1.4636e+06
188,2.68626e+06,-4.15016e+06,-1.46391e+06
189,2.69004e+06,-4.15407e+06,-1.46402e+06
190,2.69461e+06,-4.15838e+06,-1.46378e+06
191,2.70076e+06,-4.16482e+06,-1.46405e+06
192,2.70687e+06,-4.17128e+06,-1.46441e+06
193,2.71117e+06,-4.17537e+06,-1.4642e+06
194,2.71434e+06,-4.17851e+06,-1.46416e+06
195,2.717e+06,-4.18154e+06,-1.46454e+06
196,2.71455e+06,-4.17835e+06,-1.4638e+06
197,2.70919e+06,-4.17242e+06,-1.46322e+06
198,2.70956e+06,-4.17292e+06,-1.46335e+06
199,2.70854e+06,-4.16819e+06,-1.45965e+06
200,2.70461e+06,-4.16473e+06,-1.46012e+06
201,2.71055e+06,-4.17039e+06,-1.45984e+06
202,2.71233e+06,-4.17146e+06,-1.45913e+06
203,2.70569e+06,-4.1618e+06,-1.45611e+06
204,2.70155e+06,-4.1584e+06,-1.45685e+06
205,2.701e+06,-4.15821e+06,-1.45721e+06
206,2.70371e+06,-4.15976e+06,-1.45605e+06
207,2.70022e+06,-4.16542e+06,-1.4652e+06
208,2.69143e+06,-4.14681e+06,-1.45538e+06
209,2.67472e+06,-4.13128e+06,-1.45656e+06
210,2.65909e+06,-4.11596e+06,-1.45687e+06
211,2.64016e+06,-4.09674e+06,-1.45658e+06
212,2.61856e+06,-4.07509e+06,-1.45653e+06
213,2.59527e+06,-4.05161e+06,-1.45634e+06
214,2.57125e+06,-4.02737e+06,-1.45612e+06
215,2.54808e+06,-4.00406e+06,-1.45597e+06
216,2.52696e+06,-3.98289e+06,-1.45593e+06
217,2.50833e+06,-3.96428e+06,-1.45595e+06
218,2.49227e+06,-3.94824e+06,-1.45596e+06
219,2.4791e+06,-3.93503e+06,-1.45593e+06
220,2.46923e+06,-3.92534e+06,-1.45612e+06
221,2.46187e+06,-3.91827e+06,-1.4564e+06
222,2.45493e+06,-3.91239e+06,-1.45746e+06
223,2.44444e+06,-3.90209e+06,-1.45765e+06
224,2.4224e+06,-3.87632e+06,-1.45392e+06
225,2.39326e+06,-3.84663e+06,-1.45337e+06
226,2.36956e+06,-3.82368e+06,-1.45412e+06
227,2.34986e+06,-3.80268e+06,-1.45281e+06
228,2.33563e+06,-3.78927e+06,-1.45365e+06
229,2.31847e+06,-3.76731e+06,-1.44884e+06
230,2.29833e+06,-3.7473e+06,-1.44897e+06
231,2.28985e+06,-3.74383e+06,-1.45399e+06
232,2.28068e+06,-3.73372e+06,-1.45304e+06
233,2.26169e+06,-3.71291e+06,-1.45122e+06
234,2.24355e+06,-3.68951e+06,-1.44597e+06
235,2.22398e+06,-3.66627e+06,-1.44229e+06
236,2.20597e+06,-3.6493e+06,-1.44333e+06
237,2.19816e+06,-3.64172e+06,-1.44356e+06
238,2.1868e+06,-3.63049e+06,-1.44369e+06
239,2.15988e+06,-3.59909e+06,-1.43921e+06
240,2.12897e+06,-3.56886e+06,-1.4399e+06
241,2.10757e+06,-3.54773e+06,-1.44017e+06
242,2.09231e+06,-3.53229e+06,-1.43999e+06
243,2.08726e+06,-3.52584e+06,-1.43858e+06
244,2.06653e+06,-3.50808e+06,-1.44155e+06
245,2.03388e+06,-3.4766e+06,-1.44272e+06
246,2.01576e+06,-3.45868e+06,-1.44292e+06
247,2.00667e+06,-3.45076e+06,-1.44409e+06
248,1.99684e+06,-3.43662e+06,-1.43979e+06
249,1.97756e+06,-3.42348e+06,-1.44591e+06
250,1.95875e+06,-3.39038e+06,-1.43163e+06
251,1.93769e+06,-3.37075e+06,-1.43306e+06
252,1.92842e+06,-3.36302e+06,-1.43459e+06
253,1.93221e+06,-3.3632e+06,-1.43099e+06
254,1.93439e+06,-3.32856e+06,-1.39418e+06
255,1.90803e+06,-3.30361e+06,-1.39558e+06
256,1.89088e+06,-3.28536e+06,-1.39448e+06
257,1.89212e+06,-3.28474e+06,-1.39263e+06
258,1.89053e+06,-3.27578e+06,-1.38525e+06
259,1.86955e+06,-3.25555e+06,-1.38599e+06
260,1.85662e+06,-3.2404e+06,-1.38378e+06
261,1.86897e+06,-3.25211e+06,-1.38314e+06
262,1.87134e+06,-3.23043e+06,-1.3591e+06
263,1.83059e+06,-3.19652e+06,-1.36592e+06
264,1.80079e+06,-3.16727e+06,-1.36648e+06
265,1.78317e+06,-3.15026e+06,-1.36709e+06
266,1.77518e+06,-3.14096e+06,-1.36578e+06
267,1.76009e+06,-3.14256e+06,-1.38248e+06
268,1.74843e+06,-3.11379e+06,-1.36536e+06
269,1.72158e+06,-3.09773e+06,-1.37615e+06
270,1.70778e+06,-3.07163e+06,-1.36385e+06
271,1.69793e+06,-3.06428e+06,-1.36635e+06
272,1.69629e+06,-3.04562e+06,-1.34933e+06
273,1.68705e+06,-3.00478e+06,-1.31773e+06
274,1.66532e+06,-2.9852e+06,-1.31988e+06
275,1.65779e+06,-2.97769e+06,-1.3199e+06
276,1.66173e+06,-2.98155e+06,-1.31982e+06
277,1.66916e+06,-2.99148e+06,-1.32232e+06
278,1.67202e+06,-2.9904e+06,-1.31838e+06
279,1.67293e+06,-2.99602e+06,-1.3231e+06
280,1.66645e+06,-2.99082e+06,-1.32437e+06
281,1.65476e+06,-2.9789e+06,-1.32413e+06
